Sample	Latent_1	Latent_2	Latent_3	Latent_4	Latent_5	Latent_6	Latent_7	Latent_8	Latent_9	Latent_10	Latent_11	Latent_12	Latent_13	Latent_14	Latent_15	Latent_16	Latent_17	Latent_18	Latent_19	Latent_20	Latent_21	Latent_22	Latent_23	Latent_24	Latent_25	Latent_26	Latent_27	Latent_28	Latent_29	Latent_30	Latent_31	Latent_32
GSM1369211	-32.27915	-39.10851	3.3074815	25.963503	55.65856	-42.11753	27.82698	-37.86019	3.0206943	-4.212543	-55.1239	-7.50806	-2.0411277	27.674887	-7.855911	25.303984	-42.84769	29.72422	-17.261267	-6.2773204	-4.8594747	-14.637019	-77.22044	-39.766148	-55.617386	-13.388336	-50.335934	-1.5284101	31.988815	-50.90084	51.67582	49.49868
GSM1369212	-31.369473	-34.780052	4.6719513	24.401585	57.016186	-44.673412	23.498234	-37.85146	3.2091212	-1.5141577	-55.6152	-15.551836	-0.1355337	27.152525	-10.362668	23.13643	-44.409565	28.765135	-18.993116	-2.1245885	-5.635885	-22.123644	-79.29403	-35.024414	-57.84116	-11.974231	-51.40071	-6.7632933	30.55017	-44.39373	54.419212	47.111156
GSM1369213	-32.472134	-33.478565	1.2854575	27.216053	56.01759	-47.21978	23.416313	-39.589596	3.2175336	-1.6653208	-55.42913	-15.863059	1.5459162	25.778717	-11.806561	21.425379	-46.763245	26.092047	-15.352015	-5.647591	-9.115004	-18.37767	-76.91275	-37.724613	-56.33684	-13.191705	-50.605247	-5.469713	30.576477	-43.569775	56.094902	47.13777
GSM1369214	-31.697521	-34.620506	8.691889	26.105967	50.02999	-38.39654	35.30736	-40.342346	8.011788	0.8069988	-45.82143	-12.677335	2.1421113	23.757988	-13.047706	24.489706	-40.690624	34.346703	-17.893265	2.9646478	-4.984163	-20.905624	-76.632935	-37.339508	-62.613094	-8.956942	-48.67722	-2.0231535	35.132626	-49.38669	59.015747	48.677925
GSM1369215	-31.334213	-35.549866	5.994032	28.380136	49.801876	-40.022446	34.628216	-39.24134	6.263191	-0.37182564	-45.200714	-13.543764	1.2318875	23.343071	-13.521735	23.236734	-41.425556	31.476328	-14.854971	1.6930046	-7.30314	-17.970047	-73.57154	-39.025593	-59.57147	-8.951532	-48.279697	-0.79645175	34.848362	-47.262333	59.431797	46.305668
GSM1369216	-34.444397	-34.055645	11.673494	23.387527	55.87013	-35.166832	35.966347	-43.58505	9.256138	3.3104692	-44.333405	-14.52058	1.9960648	23.891348	-16.758488	23.32406	-38.947296	41.61384	-22.054895	5.7137427	1.0713649	-30.143936	-82.30437	-33.07298	-70.19533	-7.709409	-52.382477	-6.5829487	37.041557	-46.95819	62.096703	49.631172
GSM1369217	-35.951714	-35.844707	8.115786	32.830563	50.646114	-40.000633	39.45496	-44.47627	10.937633	3.9745107	-42.87924	-13.104145	3.3653922	26.275402	-19.583763	17.255022	-40.246914	41.45785	-14.58276	-1.2763534	-1.224998	-14.483264	-71.61611	-45.16073	-66.352425	-6.080491	-52.439037	1.6081256	42.294373	-49.990578	61.17345	51.644493
GSM1369218	-42.95207	-33.924305	1.9225062	32.732914	61.035175	-39.354187	44.241463	-47.794296	8.616713	7.808966	-32.890415	-18.843994	3.9603133	20.092697	-30.10988	6.402201	-42.892242	41.0088	-4.890194	-8.874268	4.188127	-21.08002	-67.72083	-43.61456	-70.2832	-4.804858	-61.981804	-5.710043	47.452515	-34.24807	71.144455	48.75714
GSM1369219	-43.00491	-33.647293	11.290983	27.31529	57.54103	-35.221478	47.867485	-52.35694	14.88851	11.562587	-36.909367	-16.223375	3.8531623	22.652912	-29.553602	7.7308793	-38.792988	49.695297	-11.886393	-5.6999907	11.544014	-23.065403	-70.21698	-43.593616	-75.89284	-0.86671805	-60.245205	-7.2509003	48.177265	-41.725536	68.444496	54.05457
GSM1369220	-43.080025	-32.789616	3.9432619	31.31197	64.13069	-39.73319	40.388832	-50.706467	10.624329	9.206506	-32.789112	-22.212791	2.3422084	19.059278	-32.2191	0.7320484	-39.754993	46.876072	-7.3509064	-8.776445	8.579577	-28.280033	-68.940636	-40.789852	-72.20782	-3.9959443	-62.068077	-11.968534	51.199783	-28.8353	75.22078	47.351147
